code,name
"146A","ESENKENT - BİRLİK MAHALLESİ"
"146B","METROKENT-EMİNÖNÜ"
"146F","ŞEHİR HASTANESİ/ ESENKENT - ESENYURT DEVLET HASTANESİ"
"146M","METROKENT - MECİDİYEKÖY"
"146T","BOĞAZKÖY / BAHÇEŞEHİR - YENİKAPI"
"14A","ÖZYEĞİN ÜNİVERSİTESİ / ALEMDAĞ - UZUNÇAYIR"
"14B","ADEM YAVUZ MAHALLESİ - KADIKÖY"
"14BK","ÇEKMEKÖY/PARSELLER MAH - UZUNÇAYIR"
"14C","ÜSKÜDAR DEVLET HASTANESİ - KADIKÖY"
"14CE","ÇEKMEKÖY - DUDULLU METRO"
"14D","DUMLUPINAR / KAZIMKARABEKİR - KADIKÖY"
"14DK","İNKILAP MAHALLESİ - LİBADİYE CADDESİ / UZUNÇAYIR"
"14ES","ESENŞEHİR - KADIKÖY"
"14F","KÜPLÜCE - KADIKÖY"
"14FD","FERAH MAHALLESİ - ÜSKÜDAR DEVLET HASTANESİ"
"14K","KAZIM KARABEKİR - KADIKÖY"
"14KS","SULTANBEYLİ GÖLET - KOZYATAĞI METRO"
"14M","KAVACIK YENİ CAMİ - KADIKÖY"
"14R","RASATHANE - KADIKÖY"
"14S","SULTANBEYLİ - KOZYATAĞI METRO"
"14ŞB","ŞAHİNBEY - KADIKÖY"
"14T","ATATÜRK MAH./ TAŞDELEN - KOZYATAĞI METRO"
"14TM","TEPEÜSTÜ-MALTEPE METRO/CEVİZLİ PERONLAR"
"14Y","YAVUZTÜRK MAHALLESİ - KADIKÖY"
"14YE","YAVUZTÜRK MAHALLESİ / ÜMRANİYE - EMEK MAHALLESİ"
"14YK","YENİDOĞAN / ŞİLE YOLU - AYRILIK ÇEŞMESİ"
"15A","ANADOLUKAVAĞI - KAVACIK"
"15B","TOPAĞACI MAHALLESİ / GÜZELTEPE - ÜSKÜDAR"
"15BK","DERESEKİ / BEYKOZ - KADIKÖY"
"15C","BÜYÜK ÇAMLICA CAMİİ/FERAH MAHALLESİ - ÜSKÜDAR"
"15CA","BÜYÜK ÇAMLICA CAMİİ / BULGURLU METRO - GÖZTEPE KÖPRÜSÜ"
"15ÇB","KAVACIK - ÇAVUŞBAŞI / ÇENGELDERE"
"15ÇK","GÜZELTEPE - KADIKÖY"
"15D","ANADOLUFENERİ /KAYNARCA / DERESEKİ - SULTANİYE"
"15E","TEKKE MEVKİİ - ÜSKÜDAR"
"15F","BEYKOZ - KADIKÖY"
"15H","HEKİMBAŞI - ÜSKÜDAR"
"15K","KİRAZLITEPE - ÜSKÜDAR"
"15KB","KAVACIK - KOZYATAĞI METRO"
"15KÇ","KARANLIKDERE / ÇAVUŞBAŞI - ÜSKÜDAR"
